Form,Part,Visit Day,Question No.,Question/Item,Action/Notes,Supervisor Check
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),1,Temperature of the baby (Measure in axilla and record),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),2,Eyes: Normal / Swelling or oozing pus,,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),3,Is umbilical cord bleeding? (Yes/No),If yes either ASHA ANM/MPW or TBA can tie again with a clean thread. Action taken (Yes/No),Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),4,Weight: Kg Gm - Weighing matches with the colour?,Colour on scale: Red/Yellow/Green,Yes/No
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),5a,All limbs limp (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),5b,Feeding less/stop (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),5c,Cry weak stopped (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),6a,Routine Newborn Care: Dry the baby (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),6b,Routine Newborn Care: Keep warm do not bathe wrap in cloth keep closer to mother (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),6c,Routine Newborn Care: Initiate exclusive breast feeding (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),6d,Routine Newborn Care: Keep the cord clean and dry (Yes/No),,Yes/No/NA
Annexure 1b - First Examination of Newborn,Part II,Day 1 (within 1 hour after birth),7,Anything unusual in baby? (curved limbs/cleft lip/other),,Yes/No/NA
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,1,Is the baby alive? (Yes/No) If not note Date time and place of Death. In case of Newborn death do not perform further examination of baby but complete examination of mother.,
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,2,No. of times mother takes a full meal in 24 hrs,If less than 4 times or if meals not full advise mother to do so.
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,3,Bleeding: how many pads are changed in a day,If more than 5 pads refer the mother to a hospital.
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,4,Is the baby being kept warm (near mother clothed and wrapped properly)? (Yes/No),Advise the mother to do so if not being done.
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,5,Is the baby being fed properly (whenever hungry or at least 7-8 times in 24 hrs)? (Yes/No),Advise the mother to do so if not being done.
Annexure 1c - Home Visit Form (Mother and Newborn),Section A - Ask Mother,Day 1/3/7/14/21/28/42,6,Is the baby crying incessantly or passing urine less than 6 times a day? (Yes/No),Advise mother to feed the baby after every 2 hours.
Annexure 1c - Home Visit Form (Mother and Newborn),Section B - Examination Mother,Day 1/3/7/14/21/28/42,1,Temperature: Measure and record,Temperature up to 102 degree F (38.9 degree C) - treat with paracetamol; if above refer to hospital
Annexure 1c - Home Visit Form (Mother and Newborn),Section B - Examination Mother,Day 1/3/7/14/21/28/42,2,Foul smelling discharge and fever more than 100 degree F (37.8 degree C)? (Yes/No),If yes refer the mother to a hospital
Annexure 1c - Home Visit Form (Mother and Newborn),Section B - Examination Mother,Day 1/3/7/14/21/28/42,3,Is mother speaking abnormally or having fits? (Yes/No),If yes refer the mother to a hospital
Annexure 1c - Home Visit Form (Mother and Newborn),Section B - Examination Mother,Day 1/3/7/14/21/28/42,4,Mother has no milk since delivery or if perceives breast milk to be less? (Yes/No),Ask the mother to feed the baby more often and counsel her for proper attachment and positioning during breast feeding.
Annexure 1c - Home Visit Form (Mother and Newborn),Section B - Examination Mother,Day 1/3/7/14/21/28/42,5,Cracked nipples/painful and/or engorged breast? (Yes/No),"In case of cracked nipples advise the mother to keep the breast clean and lubricated. If nipples are red/shiny/flaky/itchy etc and condition persists refer to hospital. In case of engorged breasts advise mother to feed baby frequently; if not possible teach mother to express milk. If breasts are hard warm compression and gentle massage towards nipples can help. If mother has fever refer to hospital."
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,1,Are the eyes swollen or with pus? (Yes/No),If there is pus in the eye then antibiotic ointment can be applied.
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,2,Weight,"If weight < 2.5kg advise extra warmth and more frequent feeding. If weight < 1.8kg refer to SNCU at nearest health facility and conduct extra home visits as per high risk baby form. If baby (LBW or normal) not gaining weight refer to SNCU."
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,3,Temperature: measure & record,"If < 97°F advise warmth (increase room temp skin-to-skin warm bag frequent feeding). If < 95.9°F give above advice and once warmer clothe and place in pre-warmed bed. If > 99°F look for signs of sepsis; manage with 1/4 spoon paracetamol and refer to SNCU immediately."
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,4,Yellowness in eyes or skin: jaundice? (Yes/No),If jaundice since first day or persists after 14 days of birth refer to NBSU and/or SNCU at nearest health facility
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,5,Has the baby received BCG? (Yes/No),
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,6,Has the baby received OPV? (Yes/No),*If not then needs to be given within the first 8 hours
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,7,Has the baby received Hep B (0)? (Yes/No),
Annexure 1c - Home Visit Form (Mother and Newborn),Section C - Examination of Baby,Day 1/3/7/14/21/28/42,Penta-1/PCV/Rota-1,Has the baby received Penta-1 PCV and Rota-1 vaccinations? Write age of baby when done (in days),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section D - Referral,Day 1/3/7/14/21/28/42,1,Baby referred for any reason? (Yes/No) If yes write date reason and place of referral,,
Annexure 1c - Home Visit Form (Mother and Newborn),Section D - Referral,Day 1/3/7/14/21/28/42,2,Mother referred for any reason? (Yes/No) If yes write date reason and place of referral,,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,1,All limbs limp (Yes/No),"Consider first three signs as criteria for diagnosing sepsis only if sign was absent previously and newly developed. If any ONE feature of sepsis present on same day diagnose as sepsis start first dose of Amoxicillin as per weight and refer to SNCU immediately: <2.0kg - 2ml; 2.0-3.0kg - 2.5ml; 3.0-4.0kg - 3ml; 4.0-5.0kg - 4ml",
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,2,Feeding less/stopped (Yes/No),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,3,Cry weak/stopped (Yes/No),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,4,Distended abdomen or mother says baby vomits often (Yes/No),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,5,Mother says the baby is 'cold to touch' or baby has fever with temperature > 99°F (37.2°C),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,6,Chest in drawing (Yes/No),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,7,Respiratory rate more than 60 per minute (Yes/No),,
Annexure 1c - Home Visit Form (Mother and Newborn),Section E - Signs of Sepsis,Day 1/3/7/14/21/28/42,8,Pus on umbilicus (Yes/No),,
